"菖","cjaq"
"猖","cjaq"
"阊","cjaq"
"娼","cjaq"
"琩","cjaq"
"锠","cjaq"
"裮","cjaq"
"閶","cjaq"
"錩","cjaq"
"鲳","cjaq"
"鯧","cjaq"
"鼚","teaq"
"苌","draq"
"肠","draq"
"長","draq|deag|drac"
"尝","djaq"
"瓺","draq|drac"
"萇","draq"
"常","djaq"
"偿","djaq|djac|sjag"
"徜","djaq"
"場","draq"
"甞","djaq"
"腸","draq"
"塲","sjaq"
"嘗","djaq"
"嫦","djaq"
"鋿","djaq"
"嚐","djaq"
"償","djaq|djac|sjag"
"厂","cjag|cjac|har|hal"
"场","draq|sjaq"
"昶","teag|teac"
"惝","cjag|tag"
"敞","cjag"
"僘","cjag"
"廠","cjag|cjac"
"氅","cjag"
"鋹","teag"
"怅","teac"
"畅","teac"
"倡","cjac|cjaq"
"鬯","teac"
"唱","cjac"
"悵","teac"
"暢","teac"
"畼","teac"
"韔","teac"
"抄","caau|caaw|caav"
"怊","teeu|cjeu"
"弨","cjeu|cjev"
"钞","caau|caaw"
"欩","teeu"
"訬","miev|caau"
"绰","cjak"
"超","teeu"
"鈔","caau|caaw"
"焯","zjak"
"繛","cjak"
"晁","dreu"
"巢","jaau|jaaw"
"朝","deeu|dreu"
"鼌","dreu"
"鄛","jaau"
"漅","ziev"
"樔","jaau"
"嘲","daau"
"潮","dreu"
"罺","zaau|caaw"
"轈","jaau"
"鼂","dreu"
"吵","caav|miev"
"炒","caav"
"眧","cjev"
"煼","caav"
"麨","cjev"
"巐","teev"
"仯","caaw|caav"
"耖","caaw"
"觘","caaw"
"车","cja|gio"
"車","cja|gio"
"砗","cja"
"硨","cja"
"扯","cjax"
"撦","cjax"
"奲","cjax|dax"
"屮","teet"
"彻","teet|dret"
"坼","taak"
"聅","dhan|teet"
"硩","tek|teet"
"掣","cjey|cjet"
"摰","qet"
"撤","teet|dret"
"徹","teet|dret"
"澈","dret"
"抻","sjil"
"郴","teim"
"琛","teim"
"棽","teim|seim"
"嗔","cjin|dhen"
"綝","teim"
"瞋","cjin"
"賝","teim"
"謓","cjin"
"臣","djin"
"尘","drin"
"辰","djin"
"沉","drim"
"忱","djim"
"陈","drin|dril"
"茞","djin"
"莐","drim"
"宸","djin"
"陳","drin|dril"
"敐","zjir|djin"
"晨","djin|xjin"
"訦","djim|djif"
"谌","djim|djif"
"揨","ddeq"
"鈂","drim|jim"
"愖","djim"
"煁","djim"
"瘎","djim"
"塵","drin"
"霃","drim"
"諶","djim"
"麎","djin"
"鷐","djin"
"碜","ceif"
"墋","ceif"
"磣","ceif"
"踸","teif"
"衬","ceil"
"疢","teil"
"龀","ceil|ceir"
"趁","teil|drin|neer"
"榇","ceil"
"齓","ceir"
"齔","ceir|ceil"
"儭","cil|ceil"
"嚫","ceil"
"谶","ceib"
"櫬","ceil"
"襯","ceil"
"讖","ceib"
"傖","caq|jaaq"
"柽","teeq"
"爯","cjiq"
"琤","caeq|caaq"
"棦","caeq"
"称","cjiq|cjic"
"浾","zaa"
"蛏","teeq"
"偁","cjiq"
"赪","teeq"
"靗","teec"
"稱","cjiq|cjic"
"撐","taaq"
"撑","taaq"
"赬","teeq"
"橕","taaq"
"瞠","taaq"
"檉","teeq"
"蟶","teeq"
"鏳","jaeq"
"朾","ddeq|daeq"
"成","djeq"
"丞","djiq|djic"
"呈","dreq|drec"
"枨","ddaq"
"郕","djeq"
"诚","djeq"
"承","djiq"
"城","djeq"
"乗","xjiq|xjic"
"宬","djeq"
"珹","djeq"
"埕","dreq"
"挰","ddaq"
"乘","xjiq|xjic"
"脀","zjiq"
"珵","dreq"
"掁","ddaq"
"铖","djeq"
"棖","ddaq"
"程","dreq"
"筬","djeq"
"惩","driq"
"椉","xjiq"
"裎","dreq|teeg"
"塖","xjiq"
"塍","xjiq"
"誠","djeq"
"溗","xjiq"
"酲","dreq"
"鋮","djeq"
"澂","driq"
"澄","ddaq|driq"
"憕","ddeq|driq|ddaq"
"橙","ddeq|deoc"
"懲","driq"
"騬","xjiq"
"逞","teeg"
"徎","teg|dreg|deeg"
"悜","teeg"
"骋","teeg"
"庱","teiq|teig"
"睈","teeg"
"騁","teeg"
"秤","cjic"
"牚","taac"
"竀","teeq|taaq"
"吃","kek|giit"
"妛","cjii"
"侙","teik"
"哧","cjek|sjek"
"鸱","cji"
"蚩","cjii"
"眵","cje|zje"
"笞","teii"
"瓻","te"
"喫","kek"
"摛","tee"
"嗤","cjii"
"痴","teii"
"媸","cjii"
"絺","te"
"螭","tee"
"鴟","cji"
"鵄","cji"
"魑","tee"
"癡","teii"
"齝","sjii|teii"
"攡","lie"
"彲","tee"
"黐","lie|tee"
"池","dre|dha"
"弛","sjex"
"驰","dre"
"迟","dhe"
"茌","jeii"
"岻","dhe|dei"
"持","drii"
"蚳","dhe"
"貾","dhe"
"馳","dre"
"趍","dre|cyo"
"遟","dhe|dheh"
"漦","xeii"
"墀","dhe"
"踟","dre"
"遲","dhe"
"篪","dre"
"謘","dhe|dheh"
"尺","cjek"
"呎","cjek"
"肔","yiex"
"齿","cjij"
"侈","cjex"
"卶","cjeh|sjeh"
"垑","cjex"
"拸","yie"
"耻","teij"
"恥","teij"
"蚇","cjek"
"豉","djeh"
"袳","cjex"
"袲","cjex|nax|yie"
"欼","ceij"
"鉹","cjex|yie"
"齒","cjij"
"褫","teex|dre|drex|teij"
"彳","teek"
"叱","cjit"
"斥","cjek|cjah"
"赤","cjek"
"饬","teik"
"杘","teh"
"抶","teit"
"迣","zjey"
"勅","teik"
"炽","cjiy"
"恜","teik"
"翅","sjeh"
"翄","gje|sjeh"
"敕","teik"
"痓","cjih"
"烾","cjek"
"跅","tak"
"飭","teik"
"訵","te|teh"
"啻","sjeh"
"湁","teip"
"雴","teip"
"跮","teh|teit"
"傺","teey"
"痸","cjey"
"遫","teik"
"銐","drey|cjey"
"慗","teik"
"瘛","cjey|cjet|fey"
"翨","gieh|sjeh"
"熾","cjiy"
"趩","teik"
"懘","cjey|cjex"
"饎","cjiy"
"鷘","teik"
"冲","cvoq|druq"
"充","cjuq"
"沖","druq"
"忡","teuq"
"茺","cjuq"
"珫","cjuq"
"浺","teuq"
"翀","druq"
